Student Answer,Correct Answer,Expected Result,Last Test Result,Last Tested
"-2ab+5a-4b","5a-4b-2ab",accept,PASS,2026-04-06T11:24:18.017Z
"bcda","abcd",accept,PASS,2026-04-06T11:24:18.018Z
"c+b+d+a","a+b+c+d",accept,PASS,2026-04-06T11:24:18.018Z
"-t-6u-5t+14u","-13t+8u",reject,PASS,2026-04-06T11:24:18.018Z
"12jnkl","12ljkn",accept,PASS,2026-04-06T11:24:18.018Z
"-18qp^5","-18p^5q",accept,PASS,2026-04-06T11:24:18.018Z
"-\frac{1}{3s}","\frac{-1}{3s}",accept,PASS,2026-04-06T11:24:18.019Z
"\frac{-3p}{-4q}","\frac{3p}{4q}",reject,PASS,2026-04-06T11:24:18.024Z
"x+2x","3x",reject,PASS,2026-04-06T11:24:18.025Z
"\frac{4x}{2}","2x",reject,PASS,2026-04-06T11:24:18.025Z
"\left(m^2\right)^3","m^6",reject,PASS,2026-04-06T11:24:18.025Z
"x^2+2x+1","\left(x+1\right)^2",reject,PASS,2026-04-06T11:24:18.025Z
"\frac{a-b}{c}","-\frac{b-a}{c}",accept,PASS,2026-04-06T11:24:18.026Z
"-10ab^2+10ba^2","10a^2b-10ab^2",accept,PASS,2026-04-06T11:24:18.026Z
"\frac{-6x^2-25}{20x}","-\frac{25+6x^2}{20x}",accept,PASS,2026-04-06T11:24:18.027Z
"\frac{1}{4\sqrt[3]{x^2}}","\frac{1}{4\sqrt[3]{x^2}}",accept,PASS,2026-04-06T11:24:18.027Z
"4-3\sqrt{x^5}","-3\sqrt{x^5}+4",accept,PASS,2026-04-06T11:24:18.028Z
"2^{\frac{17}{4}}","2^{\frac{17}{4}}",accept,PASS,2026-04-06T11:24:18.028Z
"\frac{4mn}{3}","\frac{4}{3}mn",accept,PASS,2026-04-06T11:24:18.028Z
"\left(a-x\right)\left(x-b\right)","-\left(x-a\right)\left(x-b\right)",accept,PASS,2026-04-06T11:24:18.028Z
"-\left(x+a\right)\left(x+b\right)","-\left(x+b\right)\left(x+a\right)",accept,PASS,2026-04-06T11:24:18.029Z
"-\frac{x-a}{b}","\frac{a-x}{b}",accept,PASS,2026-04-06T11:24:18.029Z
"-\frac{\left(x-a\right)\left(x+b\right)}{3}","\frac{\left(a-x\right)\left(x+b\right)}{3}",accept,PASS,2026-04-06T11:24:18.029Z
"-\frac{2}{3}\left(a+b\right)\left(c+d\right)","-\frac{2\left(a+b\right)\left(c+d\right)}{3}",accept,PASS,2026-04-06T11:24:18.030Z
"-\frac{2}{3}(a+b)(c+d)","-\frac{2(a+b)(c+d)}{3}",accept,PASS,2026-04-06T11:24:18.030Z
"\frac{2}{3}(a+b)(c+d)","\frac{2(a+b)(c+d)}{3}",accept,PASS,2026-04-06T11:24:18.031Z
"-\frac{1}{2}xy","-\frac{xy}{2}",accept,PASS,2026-04-06T11:24:18.031Z
"\frac{3}{4}ab","\frac{3ab}{4}",accept,PASS,2026-04-06T11:24:18.031Z
"-\frac{5}{6}(x+1)","-\frac{5(x+1)}{6}",accept,PASS,2026-04-06T11:24:18.032Z
"\frac{a}{b}cd","\frac{acd}{b}",accept,PASS,2026-04-06T11:24:18.032Z
"-\frac{2}{3}(a+b)(c+d)(e+f)","-\frac{2(a+b)(c+d)(e+f)}{3}",accept,PASS,2026-04-06T11:24:18.032Z
"\frac{-4}{5}xy(a+b)","\frac{-4xy(a+b)}{5}",accept,PASS,2026-04-06T11:24:18.033Z
"-\frac{3x}{4y}(a+b)","-\frac{3x(a+b)}{4y}",accept,PASS,2026-04-06T11:24:18.033Z
"(x+a)(x+b)","(x+b)(x+a)",accept,PASS,2026-04-06T11:24:18.033Z
